Competitor product name,Competitor product brand,Competitor product EAN,Company product number,Company product name,Company product EAN,Company product code,Matching status,Matching score,,,,,,,,,,
"1/2"" Kraft-Schoneinsatz WGB, 21 mm, 6-kant",WGB,4017467317899,1900094,Steckschlüssel- einsatz 21 mm,4004848481959,1900094,VALIDATED,733,,,,,,,,,,
"1/2"" Kraft-Steckschlüssel-Einsatz WGB, 21 mm, 6-kant, DIN 3129, lang",WGB,4017467351527,1900094,Steckschlüssel- einsatz 21 mm,4004848481959,1900094,VALIDATED,"0,67",,,,,,,,,,
"2 Ersatzakku Bosch GBA 10,8 V Li (2,5 Ah)",Bosch Professional,3165140826754,1500967,"Akku 2x2,5 Ah 10,8V Akkupack clic go",3165140826754,1500967,AUTO,1,,,,,,,,,,
"2 Ersatzakku Bosch GBA 18 V Li (4,0 Ah)",Bosch Professional,3165140735780,1500970,"Akku 2 x 4,0 Ah MP GBA 18 V",3165140735780,1500970,AUTO,1,,,,,,,,,,
2er-Set Halter für U-Laufschiene beige inkl. Endkappen,Gardinia,"4003018028086,2007001037620,2000428477000",6366624,U-Halter m. EndkappeBifo beige,4003018028086,6366624,AUTO,0,,,,,,,,,,
2er-Set Halter für U-Laufschiene weiß inkl. Endkappen,Gardinia,"4003018008828,2007001029397,2000424500009",6361773,U-Halter m. EndkappeBifo weiss,4003018008828,6361773,AUTO,0,,,,,,,,,,
"2 K-Reparaturkleber Tox Liquix SOS, 25 ml",Tox Dübel,4049563023503,1681102,Reparaturmörtel SOS Liquix 25 ml 1St,4049563023503,1681102,AUTO,1,,,,,,,,,,
2 K Zargenschaum B2 400ml hellgrün,Soudal,"5411183005136,5411183053380,2005125627000,5411183054875",3352130,Zargenschaum 400ml,5411183003385,3352130,VALIDATED,856,,,,,,,,,,
"4-Eckgeflecht Maschenweite 60 mm, 15 x 0,8 m, grün",,"4013514913861,2003031310009,4010989902574,5412298087970,4013514760731",4303002,Maschendrahtgeflecht 4-Eck kunststoffummantelt grün,4002101034942,4303002,VALIDATED,"0,55",,,,,,,,,,
4-Loch-Wannenrandarmatur Q10000 Chrom,OTTOFOND,"4005489033460,2",5409833,4-Loch WannenarmaturQuattro chrom,4005489033460,5409833,AUTO,0,,,,,,,,,,
"6-Eckgeflecht Maschenweite 13 mm, 10 x 0,5 m, grün",,"5024160510051,4013514766849,4013993140017",4304652,"6-eck-Geflecht grün 25m Rolle, 1000mm",4013514766849,4304652,AUTO,1,,,,,,,,,,
Abbrechklingen 18 mm 10er-Pack,,"4013307303855,2007000581797,2007000581803,2003885360007,4013307319658",8301374,"10 Abbrechklingen 18mm, im Koecher",4013307303855,8301374,AUTO,1,,,,,,,,,,
Abbrechklingen Goldcut 18 mm 10er-Pack,,4013307470403,8300535,"10 Abbrechklingen 18mm, 0,65mm",4013307470403,8300535,AUTO,0,,,,,,,,,,
Abbruchhammer Bosch GSH 5 inkl. Meißel,Bosch Professional,3165140876834,1500819,Schlaghammer GSH 5,3165140876834,1500819,VALIDATED,1,,,,,,,,,,
Abdeckfolie Baufolie 2x50 m 100 m² transparent,,4049404200117,8352872,Baufolie Standard 2x50 m Jufol,4049404200117,8352872,AUTO,0,,,,,,,,,,
Abdeckhaube elho für Hochbeet Green Basics Kunststoff XXL,Elho,8711904314675,4410365,GB Anzuchthaube XXL transparent,8711904314675,4410365,AUTO,1,,,,,,,,,,
Abdeckhaube elho Green Basics für Hochbeet XXL Kunststoff transparent,Elho,8711904248659,2800653,"Anzuchthaube XXL Kunststoff 75 x 35,5 x 20 cm",8711904248659,2800653,AUTO,1,,,,,,,,,,
Abdeckkappe 10 mm weiß 20 St.,Hettich,4008057892957,7560938,Abdeckkappe 10 mm weiss,4032526518253,7560938,VALIDATED,743,,,,,,,,,,
Abdeckkappe für Vorhangschiene 10er-Pack,Gardinia,"4003018004202,2007001021209,2000415098003",6360850,Abdeckkappe f. Bohrlöcher weiss,4003018004202,6360850,AUTO,0,,,,,,,,,,
"Abdeckkappen Ø 5 mm weiß, 20 Stück",Hettich,4008057892926,7560751,Abdeckkappe 5 mm weiss,4032526518314,7560751,VALIDATED,779,,,,,,,,,,
"Abdeckkappen Ø 6 mm weiß, 20 Stück",Hettich,4008057892933,7560894,Abdeckkappe 6 mm weiss,4032526518291,7560894,VALIDATED,779,,,,,,,,,,
Abdeckleiste Grundierfolie 5x24x2400 mm,,"4002718415899,2007003260699,2007004073076",7169240,Universalleiste Grundierfolie 5x24,4002718415899,7169240,AUTO,0,,,,,,,,,,
"Abdeckleiste weiß 25x1,5 mm selbstklebend L:1,40 m mit Dichtlippe",,4260027233652,7150069,"Abdeckleiste selbstklebend weiss 1400 x 1,5 x 15 mm",4260027233652,7150069,AUTO,0,,,,,,,,,,
"Abdeckpapier Krepp 0,85 x 20 m 120 gr/m²",,4049404101117,8350065,"Malerkrepp 0,85 x 20 m B1",4049404121115,8350065,VALIDATED,839,,,,,,,,,,
Abdeckplane ARNOLD für Rasenmäher AZ63 193x61x117 cm,,4008423806434,4151224,ABDECKPLANE RASENMAEHER,4008423806434,4151224,AUTO,0,,,,,,,,,,
Abdeckplane BIG-Cover,BIG,4004943567190,4111752,BIG Sandpit Cover,4004943567190,4111752,AUTO,1,,,,,,,,,,
Abdeckplane Standard 4 x 5 m 20 m² transparent,,4049404103319,8350037,Abdeckfolie 4x5m - 20mý B1,4049401021616,8350037,VALIDATED,0,,,,,,,,,,
Abdeckplatte Aduro Kalkstein für Kaminofen Aduro 9,Aduro,5704065008814,3200302,Kalkstein Top für Aduro 9 Serie,5704065008814,3200302,AUTO,1,,,,,,,,,,
Abdeckplatte Aduro Sandstein für Kaminofen Aduro 9,Aduro,5704065006643,3200301,Sandstein Top für Aduro 9 Serie,5704065006643,3200301,AUTO,1,,,,,,,,,,
Abdeckplatte Aduro Speckstein für Kaminofen Aduro 9,Aduro,5704065006636,3200300,Speckstein Top für Aduro 9 Serie,5704065006636,3200300,AUTO,1,,,,,,,,,,
Abdeckrahmen 1-fach Holz Kopp Paris palisander/braun,Kopp,4008224585453,9100280,Abdeckrahmen 1-fach Paris braun,4008224585453,9100280,AUTO,0,,,,,,,,,,
Abdeckrahmen 1-fach Kopp Europa arktisweiß,Kopp,4008224586603,9100239,Abdeckrahmen 1-fach Europa arktis weiss,4008224586603,9100239,AUTO,0,,,,,,,,,,
Abdeckrahmen 1-fach Kopp Europa cremeweiß,Kopp,4008224586610,9100243,Rahmen 1-fach Europa Creme,4008224586610,9100243,AUTO,0,,,,,,,,,,
Abdeckrahmen 1-fach Kopp Malta silber,Kopp,4008224585224,9100758,Abdeckrahmen 1 fach Malta silber,4008224585224,9100758,AUTO,1,,,,,,,,,,
Abdeckrahmen 1-fach Kopp Milano weiß,Kopp,4008224585774,9100275,Abdeckrahmen 1-fach Milano weiss,4008224585774,9100275,AUTO,0,,,,,,,,,,
Abdeckrahmen 1-fach Kopp Paris arktisweiß,Kopp,4008224585378,9100248,Abdeckrahmen 1-fach Paris arktis weiss,4008224585378,9100248,AUTO,0,,,,,,,,,,
Abdeckrahmen 1-fach Kopp Paris silber,Kopp,4008224585507,9100281,Abdeckrahmen Paris 1-fach silbern,4008224585507,9100281,AUTO,0,,,,,,,,,,
Abdeckrahmen 1-fach Kopp Venedig platin,Kopp,4008224592871,9150153,Abdeckrahmen Venedig 1-fach platinfarben,4008224592871,9150153,AUTO,1,,,,,,,,,,
Abdeckrahmen 1-fach Kopp Vision stahl,Kopp,4008224586252,9100272,Abdeckrahmen 1-fach Vision stahl,4008224586252,9100272,AUTO,0,,,,,,,,,,
Abdeckrahmen 2-fach Busch-Jaeger Alpha Nea studioweiß hochglanz waagerecht,Busch-Jaeger,"4011395691007,2007000588642,2003840584004,2007000588659,4008153414374,4001794074389,4001794072279",9160338,"ABDECKR., 2FACH, WGRALPHA NEA ST-WS GL.",4008153414374,9160338,AUTO,1,,,,,,,,,,
Abdeckrahmen 2-fach Busch-Jaeger Duro 2000 SI weiß,Busch-Jaeger,"4011395095805,2004024073000,2007001090434,2007001090427,4008153413766,4001794074211,4011395096505,4001794072217,4001794104895",9160833,ABDECKRAHMEN 2FACH DURO 2000 SI WEISS,4008153413766,9160833,AUTO,1,,,,,,,,,,
Abdeckrahmen 2-fach Holz Kopp Paris palisander/braun,Kopp,4008224585460,9100252,Abdeckrahmen 2-fach Paris braun,4008224585460,9100252,AUTO,0,,,,,,,,,,
Abdeckrahmen 2-fach Kopp Europa arktisweiß,Kopp,4008224585347,9100240,Abdeckrahmen 2-fach Europa arktis weiss,4008224585347,9100240,AUTO,0,,,,,,,,,,
Abdeckrahmen 2-fach Kopp Europa cremeweiß,Kopp,4008224586627,9100244,Rahmen 2-fach Europa Creme,4008224586627,9100244,AUTO,0,,,,,,,,,,
Abdeckrahmen 2-fach Kopp Malta silber,Kopp,4008224585231,9100759,Abdeckrahmen 2 fach Malta silber,4008224585231,9100759,AUTO,1,,,,,,,,,,
Abdeckrahmen 2-fach Kopp Milano weiß,Kopp,4008224585781,9100276,Abdeckrahmen 2-fach Milano weiss,4008224585781,9100276,AUTO,0,,,,,,,,,,
Abdeckrahmen 2-fach Kopp Paris arktisweiß,Kopp,4008224585385,9100249,Abdeckrahmen 2-fach Paris arktis weiss,4008224585385,9100249,AUTO,0,,,,,,,,,,
Abdeckrahmen 2-fach Kopp Paris silber,Kopp,4008224585514,9100255,Abdeckrahmen Paris 2-fach silbern,4008224585514,9100255,AUTO,0,,,,,,,,,,
Abdeckrahmen 2-fach Kopp Venedig platin,Kopp,4008224592888,9150155,Abdeckrahmen Venedig 2-fach platinfarben,4008224592888,9150155,AUTO,1,,,,,,,,,,
Abdeckrahmen 2-fach Kopp Vision stahl,Kopp,4008224586269,9100273,Abdeckrahmen 2-fach Vision stahl,4008224586269,9100273,AUTO,0,,,,,,,,,,
Abdeckrahmen 3-fach Holz Kopp Paris palisander/braun,Kopp,4008224585477,9100253,Abdeckrahmen 3-fach Paris braun,4008224585477,9100253,AUTO,0,,,,,,,,,,
Abdeckrahmen 3-fach Kopp Europa arktisweiß,Kopp,4008224585354,9100241,Abdeckrahmen 3-fach Europa arktis weiss,4008224585354,9100241,AUTO,0,,,,,,,,,,
Abdeckrahmen 3-fach Kopp Europa cremeweiß,Kopp,4008224586634,9100246,Rahmen 3-fach Europa Creme,4008224586634,9100246,AUTO,0,,,,,,,,,,
Abdeckrahmen 3-fach Kopp Milano weiß,Kopp,4008224585798,9100277,Abdeckrahmen 3-fach Milano weiss,4008224585798,9100277,AUTO,0,,,,,,,,,,
Abdeckrahmen 3-fach Kopp Paris arktisweiß,Kopp,4008224585392,9100250,Abdeckrahmen 3-fach Paris arktis weiss,4008224585392,9100250,AUTO,0,,,,,,,,,,
Abdeckrahmen 3-fach Kopp Paris silber,Kopp,4008224585521,9100257,Abdeckrahmen Paris 3-fach silbern,4008224585521,9100257,AUTO,0,,,,,,,,,,
Abdeckrahmen 3-fach Kopp Venedig platin,Kopp,4008224592895,9150157,Abdeckrahmen Venedig 3-fach platinfarben,4008224592895,9150157,AUTO,1,,,,,,,,,,
Abdeckrahmen 3-fach Kopp Vision stahl,Kopp,4008224586276,9100274,Abdeckrahmen 3-fach Vision stahl,4008224586276,9100274,AUTO,0,,,,,,,,,,
Abdeckrahmen 4-fach Holz Kopp Paris palisander/braun,Kopp,4008224585491,9100254,Abdeckrahmen 4-fach Paris braun,4008224585491,9100254,AUTO,0,,,,,,,,,,
Abdeckrahmen 4-fach Kopp Europa arktisweiß,Kopp,4008224585361,9100242,Abdeckrahmen 4-fach Europaâ€ arktisweiss,4008224585361,9100242,AUTO,0,,,,,,,,,,
Abdeckrahmen 4-fach Kopp Europa cremeweiß,Kopp,4008224586641,9100247,Rahmen 4-fach Europa Creme,4008224586641,9100247,AUTO,0,,,,,,,,,,
Abdeckrahmen 4-fach Kopp Malta silber,Kopp,4008224585255,9100761,Abdeckrahmen 4 fach Malta silber,4008224585255,9100761,AUTO,1,,,,,,,,,,
Abdeckrahmen 4-fach Kopp Milano weiß,Kopp,4008224585804,9100279,Abdeckrahmen 4-fach Milano weiss,4008224585804,9100279,AUTO,0,,,,,,,,,,
Abdeckrahmen 4-fach Kopp Paris arktisweiß,Kopp,4008224585408,9100251,Abdeckrahmen 4-fach Paris arktis weiss,4008224585408,9100251,AUTO,0,,,,,,,,,,
Abdeckrahmen 4-fach Kopp Paris silber,Kopp,4008224585538,9100258,Abdeckrahmen 4-fach Paris silber,4008224585538,9100258,AUTO,0,,,,,,,,,,
Abdeckrahmen 4-fach Kopp Venedig platin,Kopp,4008224592901,9150159,Abdeckrahmen Venedig 4-fach platinfarben,4008224592901,9150159,AUTO,1,,,,,,,,,,
Abdeckrahmen 4-fach Kopp Vision stahl,Kopp,4008224586283,9150093,Abdeckrahmen Vision 4-fach stahlfarben,4008224586283,9150093,AUTO,1,,,,,,,,,,
Abdeckrahmen Holz 1-fach Kopp Milano nussbaum,Kopp,4008224586061,9100265,Rahmen 1-fach Milano Nussbaum,4008224586061,9100265,AUTO,0,,,,,,,,,,
Abdeckrahmen Holz 2-fach Kopp Milano nussbaum,Kopp,4008224586078,9100266,Rahmen 2-fach Milano Nussbaum,4008224586078,9100266,AUTO,0,,,,,,,,,,
Abdeckrahmen Holz 3-fach Kopp Milano nussbaum,Kopp,4008224586085,9100268,Rahmen 3-fach Milano Nussbaum,4008224586085,9100268,AUTO,0,,,,,,,,,,
Abdeckrahmen mit Abdeckplatte 2/3-fach weiß Schwaiger ADE/ADR532,,4004005503395,9400400,Universal Abdeckung Antennensteckdose,4004005503395,9400400,AUTO,1,,,,,,,,,,
Abdeckrosette Spion 2200 Chrom,Abus,"4003318007279,2",1602084,Abdeckrosetten für Türspion 2200 2 Stück,4003318007279,1602084,AUTO,0,,,,,,,,,,
Abdeckung Antenne/SAT Busch-Jaeger Alpha Nea studioweiß hochglanz,Busch-Jaeger,"4011395718803,2007000984970,2003863915007,4008153473579,4001794074334,4001794072163",9160426,SAT-ABDECKUNG ALPHA NEA ST-WS GL.,4008153473579,9160426,AUTO,1,,,,,,,,,,
Abdeckung Antenne/SAT Busch-Jaeger Duro 2000 SI weiß,Busch-Jaeger,"4011395537206,2003863883009,2007000982914,2007000982921,4008153473258,4001794072156,4001794074181",9160789,Abdeckung für Antennensteckdose Duro weiss,4008153473258,9160789,AUTO,1,,,,,,,,,,
Abdeckung Antenne/SAT Busch-Jaeger Reflex SI alpinweiß,Busch-Jaeger,"4001794096596,2007000983492,2007005257192,2007000983485,2003863891004,4008153473333,4001794097005,4011395538005",9160646,Abdeckung-SAT Reflex SI weiss B-J,4008153473333,9160646,AUTO,1,,,,,,,,,,
Abdeckung Antenne/SAT/Radio Busch-Jaeger Future Linear studioweiß,Busch-Jaeger,"4011395996416,2005139982003,2007000616789,4008153475702,4008153283406",9161009,Abdeckung-SAT Solo studioweiss B-J,4008153475702,9161009,AUTO,1,,,,,,,,,,
Abdeckung Exo Terra Compact Top 60 x 20 x 9 cm,Exo Terra,"15561222273,2007",2760758,Terrarienabdeckung Top 60,15561222273,2760758,AUTO,1,,,,,,,,,,
"Abdeckung Exo Terra Compact Top, Mini 30 x 15 x 9 cm",Exo Terra,"15561222259,2007",2760670,Terrarienabdeckung Top 30,15561222259,2760670,AUTO,1,,,,,,,,,,
Abdeckung IAE/UAE Jung A500/A plus 569-2 BFPLUA AL aluminium,Jung,"4011377088061,2007005546142,2005057009004,2007005546135,2007000727591,4008153492556,4011377132252,4008224545747",8340002,"Abdeckung-UAE A500 alu, Jung",4006341697028,8340002,VALIDATED,647,,,,,,,,,,
Abdeckung TAE Kopp Europa arktisweiß,Kopp,4008224583220,9150001,TAE Abdeckung Europa arktis weiss,4008224583220,9150001,AUTO,0,,,,,,,,,,
Abdeckung TAE Kopp Europa cremeweiß,Kopp,4008224583275,9150003,TAE-Abdeckung Europa creme,4008224583275,9150003,AUTO,0,,,,,,,,,,
Abdeckung TAE Kopp Malta silber,Kopp,4008224583138,9100756,Abdeckung TAE Malta silber,4008224583138,9100756,AUTO,1,,,,,,,,,,
Abdeckung TAE Kopp Milano weiß,Kopp,4008224583565,9150018,TAE Abdeckung Milano weiss,4008224583565,9150018,AUTO,0,,,,,,,,,,
Abdeckung TAE Kopp Paris arktisweiß,Kopp,4008224583329,9150005,TAE Abdeckung Paris arktis weiss,4008224583329,9150005,AUTO,0,,,,,,,,,,
